Entrada;Bubble;Merge;Quick
1024; 0.216000; 0.008200; 0.003800
128; 0.003600; 0.000600; 0.000200
16; 0.000000; 0.000000; 0.000000
16384;53.902.000; 0.181000; 0.072800
2048; 0.806600; 0.016600; 0.007600
256; 0.014000; 0.001400; 0.003800
32; 0.000400; 0.000200; 0.000400
32768;227.433.600; 0.374000; 0.134600
4; 0.000000; 0.000000; 0.000000
4096;3.292.200; 0.036600; 0.015400
512; 0.051400; 0.003400; 0.002200
64; 0.001000; 0.000600; 0.000200
8; 0.000200; 0.000000; 0.000000
8192;13.634.200; 0.079200; 0.033000
